score,review
10,김대명님의 연기력에 너무 감동받았습니다
8,"석구의 이야기를 들어주는 사람은 없었고, 덩그러니 혼자 남겨지게 만들어가는 것이 보는 입장에서는 답답하고 아쉬운 부분이 많았지만, 저게 현실이 아닐까라는 생각을 하게되었다..."
10,"떠먹여 주는 영화가 있다.스토리도, 재미있는 요소도, 캐틱터의 매력도, 너무도 잘 차려진...우리는 이런 영화에너무 익숙한지 모르겠다.간만에 내가  떠 먹는 영화를 만났다.각각 캐릭터가 보여주려는 메세지, 곳곳에 인..."
6,잔잔한  파도같고  쉽게 잊혀지는 사실들을 심도있게다룬것 같아  좋았다  근데  상황전개의 억지스러움도약간은 있다
10,잔잔함 속에 또한번 나의 삶을 반성하게 하는 영화였습니다 이 영화를 통해 사회적으로 약한  사람들을 어떻게 바라봐야할지를 고민하는 계기가 되었습니다 그들 또한 우리와 함께 살아가야 할 사람으로서 대우받고 싶은건 아닐...
9,누군가의 삶에도 석구 같은 친구가 있었을겁니다. 난 그 때 어땠나 곰곰히 생각해봅니다.대명씨 고마워요~ 연기가 쉽지 않았을 텐데... 이제 믿고 보는 배우가 되셨군요. 기대됩니다.
10,정말 석구의 삶을 보니 먹먹해지더라고요..그 와중에 우리 삶을 포기하지않고 지켜주시는 분이 생각났습니다.. 너무나 깊은 울림이 있는영화감사합니다 ㅜㅜ 재미있게봤습니다!!^^
10,보는동안 너무 울었네요김대명 배우님 석구인물을 연기하시면서 얼마나 맘아팠을까 하는 안쓰러움과 그럼에도 온전하게 석구가되어주셔서 감사합니다많은 사람들이 이 영화를 보고 우리가 외면하는 우리 뒷모습을 생각했으면 합니다
9,주변에 석구와 같은 친구가 있었을거라는 생각이 계속 머릿속을 맴도네요...삶을 반성하게 하는 영화?영상미가 다시 한번 추천을 누르게 됩니다.
9,보는 내내 석구 딱 한번만 안아주고 싶었다.
10,포스터가 독립영화 느낌이여서 기대 1도 안했는데 새삼 잊었던거 생각나게함; 나 중딩때 이런애;; 그냥 지나쳤던거 생각나고 걍 찝찝한데 다들 봤음 하는 영화임
10,이계절에 너무 잘맞는 아름다운 영상그리고 사회적약자를 돌아볼수있는 기회였다. 중간에 고구마10개쯤 먹은듯한 답답함이 있었지만 이게 우리사회의 현주소가 아닐까싶다. 김대명의 연기는 단연 압권 앞으로가 더기대되는 배우 ...
10,가슴이 먹먹해진다는 평에 동감합니다. 몸만커버린 발달장애인에 대한 여러마음이 드네요. 어찌보면 너무 현실적이고 어찌보면 너무 동화적인 영화입니다.스토리 연출 영상미도 좋습니다.
8,어머님께서보셨는데 감동적이만 엔딩이 마음아프고 씁쓸하셨다고 합니다
1,뭐 이런 쓰레기가튼 영화가 다있어 재판을 무슨 여자 꼬맹이 말은 하나도 안듣고 재판을 하고 자빠졌네 말이 되게끔 영화를 처만들어라 쫌
1,14살짜리인데 증언 한마디 없이...  빨갱이들 인민 재판하냐!  김선생 이년은 아주 한인생 종쳤네...
10,좀 결말이 찝찝하네요..그래서 더 많은 생각을 하게 되는 영화인거 같습니다. 제아들도 4학년에 두세살 지능인데 아직 말도 못하고 기저귀 차고 있구..저 같은 부족한 부모라도 석구옆에 있었으면 하는 바램이 좀 드네요....
10,일상을 살며 주변에서 쉽게 목격하거나 겪을 수 있는..  그래서 서로 무감각하게 지나가 버릴 수 있는 그런 상황들.. 그런 이야기를 끄집어내어 내 자신을 불편하게 한다.. 그래서 불편한 영화다.. 하지만 그래서 아름...
10,오랜만에   상업영화에   물들여져  자극적인  영화 스트레스해소용 영화들만  접하다   너무 나도 감동적인작품을  만났다  현시대를  살면서  편견과 선입견으로  쌓여진   사회속에서   나또한  눈에보이는 것만이...
9,"열린결말이라고 욕먹는 엔딩씬에서 물에 잠겨버린 석구가 관객을 정면으로 바라본 것의 의미 1.""나, 나, 나 믿어요?"" 2.""나는 앞으로 어떻게 살아야하죠?"" 3.""제발 누구 날 좀..."
10,과연 우리는 석구를 의심하지 않고 온전히 믿었는가
7,결국 석구의 진심을 알아주려 한 이는 아무도 없었네요.. 자신들의 기준으로 판단했을 뿐. 배우님 연기를 너무 잘하셔서 보는 내가 다 가슴이 찢어지는 줄ㅠ
8,"너무너무 답답하고 화가나서 눈물도 안나오다가석구가 자기 믿냐고 했을 때 부터 먹먹한 눈물 폭발,,마지막 석구의 표정은 정말 ,, 많은 생각을 들게한다"
10,그 넓은 영화관에서 혼자관람했습니다.영화의 흐름을따라가고.. 많이 울고 마음이 순수해지는기분이었습니다. 잘봤습니다.이러한 영화를 혼자보기 아까웠습니다.많은 사람들이 접할수있으면 좋겠어요♡
10,큰 울림과 묵직한 메시지를 주는 영화입니다.영화를 본 후에 쉽게 자리를 뜨기 어려울 정도로 가슴이 먹먹해지는 느낌이었습니다. 오랜만에 좋은 영화 한편 보았습니다.
10,사회적 약자에 대한 편견에 대해 다시 한번 생각하게 하는 메세지가 있는 좋은 영화이네요.  감독님의 고민과 정성이 잘 묻어난듯하고 배우들의 훌륭한 연기도 돋보입니다. 코로나로 어렵지만 이런 영화는 많은 분들이 찾아가...
10,김대명 배우님 연기진짜 잘하십니다. 특히 울음 참는씬이 진짜.... 그리고 감동적인 장면도 되게 많았고 보는 내내 석구너무 불쌍했다...그리고 평소에 내가 가진 편견들을 다시 생각해 보게되는 영화인것 같다.
10,김대명 배우님이 연기 너무 잘함 ㄷㄷ 영화 보고 마지막으로 운게 7번방의 선물인데 이거 보고 오열함 ㄹㅇ 김대명 배우님 연기가 한몫하는듯 시사회 갔다왔는데 김대명 배우님이 모자쓰고 오셔서 얼굴 잘 안 보여서 슬펐음 ...
10,"표현해야할 주제가 어려운 부분이기에 연출자 입장에서는 최선을 다해 표현했던 부분이나, 100%의 공감을 얻어내기엔 한계가 있었던 것 같다. 다만, 그 모든 한계를 깬 건 김대명이란 배우다. 왜 이 배우를 석구로 캐스..."
10,"영상, 연기, 연출, 음악 모두  좋은 영화였습니다. 생각할 거리도 함께 주어 고마운 영화~"
10,김대명님 믿고보는 배우가되셨습니다. 해외 수출. 많은 사람들이 봤으면 좋겠다. 병실 빵 먹는 장면 명장면.
